Id,SalePrice
1461,108517.465679339
1462,155463.492688581
1463,177039.98834466
1464,194839.576623206
1465,220823.257681512
1466,174580.63336407
1467,186159.103765477
1468,164709.8698686
1469,212973.775659335
1470,120384.706420099
1471,175837.116855223
1472,100702.600481046
1473,90617.9471132856
1474,141406.983187561
1475,97865.9929668455
1476,356618.898400306
1477,264663.481463936
1478,319979.628570699
1479,321248.400070515
1480,435290.511674361
1481,325531.816356216
1482,231490.07603514
1483,172553.721198906
1484,166295.731331623
1485,194038.568929451
1486,199592.788783815
1487,346783.730708812
1488,230970.736790553
1489,200140.012100634
1490,240546.911408545
1491,195910.109541839
1492,88051.39255902
1493,229984.093963834
1494,306877.855696572
1495,302946.619270108
1496,239420.009249299
1497,174321.575879839
1498,170879.941789601
1499,166340.37174918
1500,156736.93061365
1501,181375.672855028
1502,148583.770709011
1503,278035.384645666
1504,242772.847625193
1505,224024.969454114
1506,200560.872324372
1507,240513.116986675
1508,198716.021177109
1509,162594.933407464
1510,145191.838169737
1511,145404.10708267
1512,176363.406200936
1513,157220.678571876
1514,151966.569550038
1515,207042.838203566
1516,158610.242452267
1517,181062.548871268
1518,120840.31304093
1519,210299.924869094
1520,126775.61274561
1521,125745.480011157
1522,188215.740823368
1523,103515.094768313
1524,128804.373733711
1525,111265.210088449
1526,102211.646157855
1527,104182.315039172
1528,145971.642544458
1529,138089.074570095
1530,220914.233716078
1531,129617.848884193
1532,100836.317304542
1533,152716.208515713
1534,130933.427496446
1535,142915.769660693
1536,101079.830449336
1537,49344.3944872283
1538,168842.254565402
1539,216966.020608896
1540,125953.955922598
1541,142865.984581918
1542,137365.603921778
1543,176048.028520182
1544,84883.0576018997
1545,127578.061536741
1546,148213.559535612
1547,125469.433793038
1548,147833.21450949
1549,126745.686404929
1550,146936.252697935
1551,116377.942876777
1552,143247.367904546
1553,155086.225925276
1554,124690.13270285
1555,150278.967307217
1556,94724.0604767824
1557,109860.456936648
1558,109924.918954191
1559,97503.6944083643
1560,133519.547608655
1561,134537.599115661
1562,134368.909990686
1563,127975.120939031
1564,157178.411649752
1565,150238.113147284
1566,242896.483293849
1567,74022.9978277095
1568,220323.873186731
1569,120152.756508236
1570,140848.569752492
1571,107346.874137954
1572,138110.501129853
1573,249933.625690391
1574,130783.6603233
1575,233151.158393302
1576,241376.23702864
1577,184336.546458231
1578,155924.29457865
1579,131531.180374041
1580,193553.565607563
1581,154198.590284554
1582,136639.273958321
1583,265531.051072242
1584,218606.2369899
1585,139558.725780216
1586,53370.539799677
1587,103643.738757525
1588,153059.091007435
